G,Season,Standardized_Date,Date,Day,Time,School,Standardized_School,Location,Opponent,Standardized_Opponent,Conf,Result,Pts,Opp,W,L,T,Streak,Notes
1,1899,1899-09-27,"Sep 27, 1899",Wed,,Notre Dame,Notre Dame,Home,Englewood High,Englewood High,Non-Major,W,29,5,1,0,0.0,W 1,
2,1899,1899-09-30,"Sep 30, 1899",Sat,,Notre Dame,Notre Dame,Home,Michigan State,Michigan State,Non-Major,W,40,0,2,0,0.0,W 2,
3,1899,1899-10-04,"Oct 4, 1899",Wed,,Notre Dame,Notre Dame,Away,Chicago,Chicago,Western,L,6,23,2,1,0.0,L 1,
4,1899,1899-10-14,"Oct 14, 1899",Sat,,Notre Dame,Notre Dame,Home,Lake Forest,Lake Forest,Ind,W,38,0,3,1,0.0,W 1,
5,1899,1899-10-18,"Oct 18, 1899",Wed,,Notre Dame,Notre Dame,Away,Michigan,Michigan,Western,L,0,12,3,2,0.0,L 1,
6,1899,1899-10-23,"Oct 23, 1899",Mon,,Notre Dame,Notre Dame,Home,Indiana,Indiana,Ind,W,17,0,4,2,0.0,W 1,
7,1899,1899-10-28,"Oct 28, 1899",Sat,,Notre Dame,Notre Dame,Home,Northwestern,Northwestern,Western,W,12,0,5,2,0.0,W 2,
8,1899,1899-11-04,"Nov 4, 1899",Sat,,Notre Dame,Notre Dame,Home,Rush Medical,Rush Medical,Non-Major,W,17,0,6,2,0.0,W 3,
9,1899,1899-11-18,"Nov 18, 1899",Sat,,Notre Dame,Notre Dame,Away,Purdue,Purdue,Western,T,10,10,6,2,1.0,T 1,
10,1899,1899-11-30,"Nov 30, 1899",Thu,,Notre Dame,Notre Dame,Home,Physicians & Surgeons,Physicians & Surgeons,Non-Major,L,0,5,6,3,1.0,L 1,
1,1915,1915-10-02,"Oct 2, 1915",Sat,,Notre Dame,Notre Dame,Home,Alma,Alma,Non-Major,W,32,0,1,0,0.0,W 1,
2,1915,1915-10-09,"Oct 9, 1915",Sat,,Notre Dame,Notre Dame,Home,Haskell,Haskell,Ind,W,34,0,2,0,0.0,W 2,
3,1915,1915-10-23,"Oct 23, 1915",Sat,,Notre Dame,Notre Dame,Away,Nebraska,Nebraska,MVIAA,L,19,20,2,1,0.0,L 1,
4,1915,1915-10-30,"Oct 30, 1915",Sat,,Notre Dame,Notre Dame,Home,South Dakota,South Dakota,Non-Major,W,6,0,3,1,0.0,W 1,
5,1915,1915-11-06,"Nov 6, 1915",Sat,,Notre Dame,Notre Dame,Away,Army,Army,Ind,W,7,0,4,1,0.0,W 2,
6,1915,1915-11-13,"Nov 13, 1915",Sat,,Notre Dame,Notre Dame,Away,Creighton,Creighton,Non-Major,W,41,0,5,1,0.0,W 3,
7,1915,1915-11-25,"Nov 25, 1915",Thu,,Notre Dame,Notre Dame,Away,Texas,Texas,SWC,W,36,7,6,1,0.0,W 4,
8,1915,1915-11-27,"Nov 27, 1915",Sat,,Notre Dame,Notre Dame,Away,Rice,Rice,SWC,W,55,2,7,1,0.0,W 5,
1,1919,1919-10-04,"Oct 4, 1919",Sat,,Notre Dame,Notre Dame,Home,Kalamazoo,Kalamazoo,Non-Major,W,14,0,1,0,0.0,W 1,
2,1919,1919-10-11,"Oct 11, 1919",Sat,,Notre Dame,Notre Dame,Home,Mount Union,Mount Union,Non-Major,W,60,7,2,0,0.0,W 2,
3,1919,1919-10-18,"Oct 18, 1919",Sat,,Notre Dame,Notre Dame,Away,Nebraska,Nebraska,Ind,W,14,9,3,0,0.0,W 3,
4,1919,1919-10-25,"Oct 25, 1919",Sat,,Notre Dame,Notre Dame,Home,Western Michigan,Western Michigan,Non-Major,W,53,0,4,0,0.0,W 4,
5,1919,1919-11-01,"Nov 1, 1919",Sat,,Notre Dame,Notre Dame,Neutral,Indiana,Indiana,Western,W,16,3,5,0,0.0,W 5,"Indianapolis, IN"
6,1919,1919-11-08,"Nov 8, 1919",Sat,,Notre Dame,Notre Dame,Away,Army,Army,Ind,W,12,9,6,0,0.0,W 6,
7,1919,1919-11-15,"Nov 15, 1919",Sat,,Notre Dame,Notre Dame,Home,Michigan State,Michigan State,Non-Major,W,13,0,7,0,0.0,W 7,
8,1919,1919-11-22,"Nov 22, 1919",Sat,,Notre Dame,Notre Dame,Away,Purdue,Purdue,Western,W,33,13,8,0,0.0,W 8,
9,1919,1919-11-27,"Nov 27, 1919",Thu,,Notre Dame,Notre Dame,Away,Morningside,Morningside,Non-Major,W,14,6,9,0,0.0,W 9,
1,1936,1936-10-03,"Oct 3, 1936",Sat,,Notre Dame,Notre Dame,Home,Carnegie Mellon,Carnegie Mellon,Ind,W,21,7,1,0,0.0,W 1,
2,1936,1936-10-10,"Oct 10, 1936",Sat,,Notre Dame,Notre Dame,Home,Washington (MO),Washington MO,MVC,W,14,6,2,0,0.0,W 2,
3,1936,1936-10-17,"Oct 17, 1936",Sat,,Notre Dame,Notre Dame,Home,Wisconsin,Wisconsin,Western,W,27,0,3,0,0.0,W 3,
4,1936,1936-10-24,"Oct 24, 1936",Sat,,(7) Notre Dame, Notre Dame,Away,(9) Pitt, Pitt,Ind,L,0,26,3,1,0.0,L 1,
5,1936,1936-10-31,"Oct 31, 1936",Sat,,Notre Dame,Notre Dame,Home,Ohio State,Ohio State,Western,W,7,2,4,1,0.0,W 1,
6,1936,1936-11-07,"Nov 7, 1936",Sat,,(13) Notre Dame, Notre Dame,Away,Navy,Navy,Ind,L,0,3,4,2,0.0,L 1,"Baltimore, MD"
7,1936,1936-11-14,"Nov 14, 1936",Sat,,Notre Dame,Notre Dame,Away,Army,Army,Ind,W,20,6,5,2,0.0,W 1,"Bronx, NY"
8,1936,1936-11-21,"Nov 21, 1936",Sat,,(11) Notre Dame, Notre Dame,Home,(1) Northwestern, Northwestern,Western,W,26,6,6,2,0.0,W 2,
9,1936,1936-12-05,"Dec 5, 1936",Sat,,(9) Notre Dame, Notre Dame,Away,USC,USC,PCC,T,13,13,6,2,1.0,T 1,
1,1937,1937-10-02,"Oct 2, 1937",Sat,,Notre Dame,Notre Dame,Home,Drake,Drake,MVC,W,21,0,1,0,0.0,W 1,
2,1937,1937-10-09,"Oct 9, 1937",Sat,,Notre Dame,Notre Dame,Away,Illinois,Illinois,Western,T,0,0,1,0,1.0,T 1,
3,1937,1937-10-16,"Oct 16, 1937",Sat,,Notre Dame,Notre Dame,Away,Carnegie Mellon,Carnegie Mellon,Ind,L,7,9,1,1,1.0,L 1,
4,1937,1937-10-23,"Oct 23, 1937",Sat,,Notre Dame,Notre Dame,Home,Navy,Navy,Ind,W,9,7,2,1,1.0,W 1,
5,1937,1937-10-30,"Oct 30, 1937",Sat,,Notre Dame,Notre Dame,Away,(4) Minnesota, Minnesota,Western,W,7,6,3,1,1.0,W 2,
6,1937,1937-11-06,"Nov 6, 1937",Sat,,(12) Notre Dame, Notre Dame,Home,(3) Pitt, Pitt,Ind,L,6,21,3,2,1.0,L 1,
7,1937,1937-11-13,"Nov 13, 1937",Sat,,(18) Notre Dame, Notre Dame,Away,Army,Army,Ind,W,7,0,4,2,1.0,W 1,"Bronx, NY"
8,1937,1937-11-20,"Nov 20, 1937",Sat,,(12) Notre Dame, Notre Dame,Away,Northwestern,Northwestern,Western,W,7,0,5,2,1.0,W 2,
9,1937,1937-11-27,"Nov 27, 1937",Sat,,(9) Notre Dame, Notre Dame,Home,USC,USC,PCC,W,13,6,6,2,1.0,W 3,
1,1938,1938-10-01,"Oct 1, 1938",Sat,,Notre Dame,Notre Dame,Home,Kansas,Kansas,Big 6,W,52,0,1,0,0.0,W 1,
2,1938,1938-10-08,"Oct 8, 1938",Sat,,Notre Dame,Notre Dame,Away,Georgia Tech,Georgia Tech,SEC,W,14,6,2,0,0.0,W 2,
3,1938,1938-10-15,"Oct 15, 1938",Sat,,Notre Dame,Notre Dame,Home,Illinois,Illinois,Western,W,14,6,3,0,0.0,W 3,
4,1938,1938-10-22,"Oct 22, 1938",Sat,,(5) Notre Dame, Notre Dame,Home,(13) Carnegie Mellon, Carnegie Mellon,Ind,W,7,0,4,0,0.0,W 4,
5,1938,1938-10-29,"Oct 29, 1938",Sat,,(7) Notre Dame, Notre Dame,Away,Army,Army,Ind,W,19,7,5,0,0.0,W 5,"Bronx, NY"
6,1938,1938-11-05,"Nov 5, 1938",Sat,,(4) Notre Dame, Notre Dame,Away,Navy,Navy,Ind,W,15,0,6,0,0.0,W 6,"Baltimore, MD"
7,1938,1938-11-12,"Nov 12, 1938",Sat,,(2) Notre Dame, Notre Dame,Home,(12) Minnesota, Minnesota,Western,W,19,0,7,0,0.0,W 7,
8,1938,1938-11-19,"Nov 19, 1938",Sat,,(1) Notre Dame, Notre Dame,Away,(16) Northwestern, Northwestern,Western,W,9,7,8,0,0.0,W 8,
9,1938,1938-12-03,"Dec 3, 1938",Sat,,(1) Notre Dame, Notre Dame,Away,(8) USC, USC,PCC,L,0,13,8,1,0.0,L 1,
1,1939,1939-09-30,"Sep 30, 1939",Sat,,Notre Dame,Notre Dame,Home,Purdue,Purdue,Western,W,3,0,1,0,0.0,W 1,
2,1939,1939-10-07,"Oct 7, 1939",Sat,,Notre Dame,Notre Dame,Home,Georgia Tech,Georgia Tech,SEC,W,17,14,2,0,0.0,W 2,
3,1939,1939-10-14,"Oct 14, 1939",Sat,,Notre Dame,Notre Dame,Home,SMU,SMU,SWC,W,20,19,3,0,0.0,W 3,
4,1939,1939-10-21,"Oct 21, 1939",Sat,,(2) Notre Dame, Notre Dame,Neutral,Navy,Navy,Ind,W,14,7,4,0,0.0,W 4,"Cleveland, OH"
5,1939,1939-10-28,"Oct 28, 1939",Sat,,(2) Notre Dame, Notre Dame,Away,Carnegie Mellon,Carnegie Mellon,Ind,W,7,6,5,0,0.0,W 5,
6,1939,1939-11-04,"Nov 4, 1939",Sat,,(4) Notre Dame, Notre Dame,Away,Army,Army,Ind,W,14,0,6,0,0.0,W 6,"Bronx, NY"
7,1939,1939-11-11,"Nov 11, 1939",Sat,,(3) Notre Dame, Notre Dame,Away,Iowa,Iowa,Western,L,6,7,6,1,0.0,L 1,
8,1939,1939-11-18,"Nov 18, 1939",Sat,,(9) Notre Dame, Notre Dame,Home,Northwestern,Northwestern,Western,W,7,0,7,1,0.0,W 1,
9,1939,1939-11-25,"Nov 25, 1939",Sat,,(7) Notre Dame, Notre Dame,Home,(4) USC, USC,PCC,L,12,20,7,2,0.0,L 1,
1,1940,1940-10-05,"Oct 5, 1940",Sat,,Notre Dame,Notre Dame,Home,Pacific,Pacific,Non-Major,W,25,7,1,0,0.0,W 1,
2,1940,1940-10-12,"Oct 12, 1940",Sat,,Notre Dame,Notre Dame,Home,Georgia Tech,Georgia Tech,SEC,W,26,20,2,0,0.0,W 2,
3,1940,1940-10-19,"Oct 19, 1940",Sat,,(6) Notre Dame, Notre Dame,Home,Carnegie Mellon,Carnegie Mellon,Ind,W,61,0,3,0,0.0,W 3,
4,1940,1940-10-26,"Oct 26, 1940",Sat,,(2) Notre Dame, Notre Dame,Away,Illinois,Illinois,Western,W,26,0,4,0,0.0,W 4,
5,1940,1940-11-02,"Nov 2, 1940",Sat,,(2) Notre Dame, Notre Dame,Away,Army,Army,Ind,W,7,0,5,0,0.0,W 5,"Bronx, NY"
6,1940,1940-11-09,"Nov 9, 1940",Sat,,(7) Notre Dame, Notre Dame,Away,Navy,Navy,Ind,W,13,7,6,0,0.0,W 6,"Baltimore, MD"
7,1940,1940-11-16,"Nov 16, 1940",Sat,,(7) Notre Dame, Notre Dame,Home,Iowa,Iowa,Western,L,0,7,6,1,0.0,L 1,
8,1940,1940-11-23,"Nov 23, 1940",Sat,,(14) Notre Dame, Notre Dame,Away,(10) Northwestern, Northwestern,Western,L,0,20,6,2,0.0,L 2,
9,1940,1940-12-07,"Dec 7, 1940",Sat,,Notre Dame,Notre Dame,Away,USC,USC,PCC,W,10,6,7,2,0.0,W 1,
1,1941,1941-09-27,"Sep 27, 1941",Sat,,Notre Dame,Notre Dame,Home,Arizona,Arizona,BIAA,W,38,7,1,0,0.0,W 1,
2,1941,1941-10-04,"Oct 4, 1941",Sat,,Notre Dame,Notre Dame,Home,Indiana,Indiana,Western,W,19,6,2,0,0.0,W 2,
3,1941,1941-10-11,"Oct 11, 1941",Sat,,Notre Dame,Notre Dame,Away,Georgia Tech,Georgia Tech,SEC,W,20,0,3,0,0.0,W 3,
4,1941,1941-10-18,"Oct 18, 1941",Sat,,(8) Notre Dame, Notre Dame,Away,Carnegie Mellon,Carnegie Mellon,Non-Major,W,16,0,4,0,0.0,W 4,
5,1941,1941-10-25,"Oct 25, 1941",Sat,,(7) Notre Dame, Notre Dame,Home,Illinois,Illinois,Western,W,49,14,5,0,0.0,W 5,
6,1941,1941-11-01,"Nov 1, 1941",Sat,,(6) Notre Dame, Notre Dame,Away,(14) Army, Army,Ind,T,0,0,5,0,1.0,T 1,"Bronx, NY"
7,1941,1941-11-08,"Nov 8, 1941",Sat,,(7) Notre Dame, Notre Dame,Away,(6) Navy, Navy,Ind,W,20,13,6,0,1.0,W 1,"Baltimore, MD"
8,1941,1941-11-15,"Nov 15, 1941",Sat,,(5) Notre Dame, Notre Dame,Away,(8) Northwestern, Northwestern,Western,W,7,6,7,0,1.0,W 2,
9,1941,1941-11-22,"Nov 22, 1941",Sat,,(4) Notre Dame, Notre Dame,Home,USC,USC,PCC,W,20,18,8,0,1.0,W 3,
1,1942,1942-09-26,"Sep 26, 1942",Sat,,Notre Dame,Notre Dame,Away,Wisconsin,Wisconsin,Western,T,7,7,0,0,1.0,T 1,
2,1942,1942-10-03,"Oct 3, 1942",Sat,,Notre Dame,Notre Dame,Home,Georgia Tech,Georgia Tech,SEC,L,6,13,0,1,1.0,L 1,
3,1942,1942-10-10,"Oct 10, 1942",Sat,,Notre Dame,Notre Dame,Home,Stanford,Stanford,PCC,W,27,0,1,1,1.0,W 1,
4,1942,1942-10-17,"Oct 17, 1942",Sat,,Notre Dame,Notre Dame,Home,Iowa Pre-Flight,Iowa Pre-Flight,Ind,W,28,0,2,1,1.0,W 2,
5,1942,1942-10-24,"Oct 24, 1942",Sat,,(8) Notre Dame, Notre Dame,Away,(5) Illinois, Illinois,Western,W,21,14,3,1,1.0,W 3,
6,1942,1942-10-31,"Oct 31, 1942",Sat,,(4) Notre Dame, Notre Dame,Neutral,Navy,Navy,Ind,W,9,0,4,1,1.0,W 4,"Cleveland, OH"
7,1942,1942-11-07,"Nov 7, 1942",Sat,,(4) Notre Dame, Notre Dame,Away,(19) Army, Army,Ind,W,13,0,5,1,1.0,W 5,"Bronx, NY"
8,1942,1942-11-14,"Nov 14, 1942",Sat,,(4) Notre Dame, Notre Dame,Home,(6) Michigan, Michigan,Western,L,20,32,5,2,1.0,L 1,
9,1942,1942-11-21,"Nov 21, 1942",Sat,,(8) Notre Dame, Notre Dame,Home,Northwestern,Northwestern,Western,W,27,20,6,2,1.0,W 1,
10,1942,1942-11-28,"Nov 28, 1942",Sat,,(8) Notre Dame, Notre Dame,Away,(14) USC, USC,PCC,W,13,0,7,2,1.0,W 2,
11,1942,1942-12-05,"Dec 5, 1942",Sat,,(8) Notre Dame, Notre Dame,Away,Great Lakes Navy,Great Lakes Navy,Ind,T,13,13,7,2,2.0,T 1,"Chicago, IL"
1,1943,1943-09-25,"Sep 25, 1943",Sat,,Notre Dame,Notre Dame,Away,Pitt,Pitt,Ind,W,41,0,1,0,0.0,W 1,
2,1943,1943-10-02,"Oct 2, 1943",Sat,,Notre Dame,Notre Dame,Home,Georgia Tech,Georgia Tech,SEC,W,55,13,2,0,0.0,W 2,
3,1943,1943-10-09,"Oct 9, 1943",Sat,,(1) Notre Dame, Notre Dame,Away,(2) Michigan, Michigan,Western,W,35,12,3,0,0.0,W 3,
4,1943,1943-10-16,"Oct 16, 1943",Sat,,(1) Notre Dame, Notre Dame,Away,Wisconsin,Wisconsin,Western,W,50,0,4,0,0.0,W 4,
5,1943,1943-10-23,"Oct 23, 1943",Sat,,(1) Notre Dame, Notre Dame,Home,Illinois,Illinois,Western,W,47,0,5,0,0.0,W 5,
6,1943,1943-10-30,"Oct 30, 1943",Sat,,(1) Notre Dame, Notre Dame,Neutral,(3) Navy, Navy,Ind,W,33,6,6,0,0.0,W 6,"Cleveland, OH"
7,1943,1943-11-06,"Nov 6, 1943",Sat,,(1) Notre Dame, Notre Dame,Away,(3) Army, Army,Ind,W,26,0,7,0,0.0,W 7,"Bronx, NY"
8,1943,1943-11-13,"Nov 13, 1943",Sat,,(1) Notre Dame, Notre Dame,Away,(8) Northwestern, Northwestern,Western,W,25,6,8,0,0.0,W 8,
9,1943,1943-11-20,"Nov 20, 1943",Sat,,(1) Notre Dame, Notre Dame,Home,(2) Iowa Pre-Flight, Iowa Pre-Flight,Ind,W,14,13,9,0,0.0,W 9,
10,1943,1943-11-27,"Nov 27, 1943",Sat,,(1) Notre Dame, Notre Dame,Away,Great Lakes Navy,Great Lakes Navy,Ind,L,14,19,9,1,0.0,L 1,"Chicago, IL"
1,1944,1944-09-30,"Sep 30, 1944",Sat,,Notre Dame,Notre Dame,Away,Pitt,Pitt,Ind,W,58,0,1,0,0.0,W 1,
2,1944,1944-10-07,"Oct 7, 1944",Sat,,Notre Dame,Notre Dame,Home,Tulane,Tulane,SEC,W,26,0,2,0,0.0,W 2,
3,1944,1944-10-14,"Oct 14, 1944",Sat,,(1) Notre Dame, Notre Dame,Neutral,Dartmouth,Dartmouth,Ind,W,64,0,3,0,0.0,W 3,"Boston, MA"
4,1944,1944-10-21,"Oct 21, 1944",Sat,,(1) Notre Dame, Notre Dame,Home,Wisconsin,Wisconsin,Western,W,28,13,4,0,0.0,W 4,
5,1944,1944-10-28,"Oct 28, 1944",Sat,,(1) Notre Dame, Notre Dame,Away,(14) Illinois, Illinois,Western,W,13,7,5,0,0.0,W 5,
6,1944,1944-11-04,"Nov 4, 1944",Sat,,(2) Notre Dame, Notre Dame,Away,(6) Navy, Navy,Ind,L,13,32,5,1,0.0,L 1,"Baltimore, MD"
7,1944,1944-11-11,"Nov 11, 1944",Sat,,(5) Notre Dame, Notre Dame,Away,(1) Army, Army,Ind,L,0,59,5,2,0.0,L 2,"Bronx, NY"
8,1944,1944-11-18,"Nov 18, 1944",Sat,,(11) Notre Dame, Notre Dame,Home,Northwestern,Northwestern,Western,W,21,0,6,2,0.0,W 1,
9,1944,1944-11-25,"Nov 25, 1944",Sat,,(18) Notre Dame, Notre Dame,Away,(10) Georgia Tech, Georgia Tech,SEC,W,21,0,7,2,0.0,W 2,
10,1944,1944-12-02,"Dec 2, 1944",Sat,,(9) Notre Dame, Notre Dame,Home,(12) Great Lakes Navy, Great Lakes Navy,Ind,W,28,7,8,2,0.0,W 3,
1,1945,1945-09-29,"Sep 29, 1945",Sat,,Notre Dame,Notre Dame,Home,Illinois,Illinois,Western,W,7,0,1,0,0.0,W 1,
2,1945,1945-10-06,"Oct 6, 1945",Sat,,Notre Dame,Notre Dame,Away,Georgia Tech,Georgia Tech,SEC,W,40,7,2,0,0.0,W 2,
3,1945,1945-10-13,"Oct 13, 1945",Sat,,(3) Notre Dame, Notre Dame,Home,Dartmouth,Dartmouth,Ind,W,34,0,3,0,0.0,W 3,
4,1945,1945-10-20,"Oct 20, 1945",Sat,,(3) Notre Dame, Notre Dame,Away,Pitt,Pitt,Ind,W,39,9,4,0,0.0,W 4,
5,1945,1945-10-27,"Oct 27, 1945",Sat,,(2) Notre Dame, Notre Dame,Home,Iowa,Iowa,Western,W,56,0,5,0,0.0,W 5,
6,1945,1945-11-03,"Nov 3, 1945",Sat,,(2) Notre Dame, Notre Dame,Neutral,(3) Navy, Navy,Ind,T,6,6,5,0,1.0,T 1,"Cleveland, OH"
7,1945,1945-11-10,"Nov 10, 1945",Sat,,(2) Notre Dame, Notre Dame,Away,(1) Army, Army,Ind,L,0,48,5,1,1.0,L 1,"Bronx, NY"
8,1945,1945-11-17,"Nov 17, 1945",Sat,,(7) Notre Dame, Notre Dame,Away,Northwestern,Northwestern,Western,W,34,7,6,1,1.0,W 1,
9,1945,1945-11-24,"Nov 24, 1945",Sat,,(5) Notre Dame, Notre Dame,Away,Tulane,Tulane,SEC,W,32,6,7,1,1.0,W 2,
10,1945,1945-12-01,"Dec 1, 1945",Sat,,(5) Notre Dame, Notre Dame,Away,Great Lakes Navy,Great Lakes Navy,Ind,L,7,39,7,2,1.0,L 1,
1,1946,1946-09-28,"Sep 28, 1946",Sat,,Notre Dame,Notre Dame,Away,Illinois,Illinois,Western,W,26,6,1,0,0.0,W 1,
2,1946,1946-10-05,"Oct 5, 1946",Sat,,Notre Dame,Notre Dame,Home,Pitt,Pitt,Ind,W,33,0,2,0,0.0,W 2,
3,1946,1946-10-12,"Oct 12, 1946",Sat,,(3) Notre Dame, Notre Dame,Home,Purdue,Purdue,Western,W,49,6,3,0,0.0,W 3,
4,1946,1946-10-26,"Oct 26, 1946",Sat,,(2) Notre Dame, Notre Dame,Away,(17) Iowa, Iowa,Western,W,41,6,4,0,0.0,W 4,
5,1946,1946-11-02,"Nov 2, 1946",Sat,,(2) Notre Dame, Notre Dame,Away,Navy,Navy,Ind,W,28,0,5,0,0.0,W 5,"Baltimore, MD"
6,1946,1946-11-09,"Nov 9, 1946",Sat,,(2) Notre Dame, Notre Dame,Away,(1) Army, Army,Ind,T,0,0,5,0,1.0,T 1,"Bronx, NY"
7,1946,1946-11-16,"Nov 16, 1946",Sat,,(2) Notre Dame, Notre Dame,Home,Northwestern,Northwestern,Western,W,27,0,6,0,1.0,W 1,
8,1946,1946-11-23,"Nov 23, 1946",Sat,,(2) Notre Dame, Notre Dame,Away,Tulane,Tulane,SEC,W,41,0,7,0,1.0,W 2,
9,1946,1946-11-30,"Nov 30, 1946",Sat,,(2) Notre Dame, Notre Dame,Home,(16) USC, USC,PCC,W,26,6,8,0,1.0,W 3,
1,1947,1947-10-04,"Oct 4, 1947",Sat,,Notre Dame,Notre Dame,Away,Pitt,Pitt,Ind,W,40,6,1,0,0.0,W 1,
2,1947,1947-10-11,"Oct 11, 1947",Sat,,(1) Notre Dame, Notre Dame,Away,Purdue,Purdue,Western,W,22,7,2,0,0.0,W 2,
3,1947,1947-10-18,"Oct 18, 1947",Sat,,(2) Notre Dame, Notre Dame,Home,Nebraska,Nebraska,Big 6,W,31,0,3,0,0.0,W 3,
4,1947,1947-10-25,"Oct 25, 1947",Sat,,(2) Notre Dame, Notre Dame,Home,Iowa,Iowa,Western,W,21,0,4,0,0.0,W 4,
5,1947,1947-11-01,"Nov 1, 1947",Sat,,(1) Notre Dame, Notre Dame,Neutral,Navy,Navy,Ind,W,27,0,5,0,0.0,W 5,"Cleveland, OH"
6,1947,1947-11-08,"Nov 8, 1947",Sat,,(1) Notre Dame, Notre Dame,Home,(9) Army, Army,Ind,W,27,7,6,0,0.0,W 6,
7,1947,1947-11-15,"Nov 15, 1947",Sat,,(1) Notre Dame, Notre Dame,Away,Northwestern,Northwestern,Western,W,26,19,7,0,0.0,W 7,
8,1947,1947-11-22,"Nov 22, 1947",Sat,,(2) Notre Dame, Notre Dame,Home,Tulane,Tulane,SEC,W,59,6,8,0,0.0,W 8,
9,1947,1947-12-06,"Dec 6, 1947",Sat,,(1) Notre Dame, Notre Dame,Away,(3) USC, USC,PCC,W,38,7,9,0,0.0,W 9,
1,1948,1948-09-25,"Sep 25, 1948",Sat,,Notre Dame,Notre Dame,Home,Purdue,Purdue,Western,W,28,27,1,0,0.0,W 1,
2,1948,1948-10-02,"Oct 2, 1948",Sat,,Notre Dame,Notre Dame,Away,Pitt,Pitt,Ind,W,40,0,2,0,0.0,W 2,
3,1948,1948-10-09,"Oct 9, 1948",Sat,,(1) Notre Dame, Notre Dame,Home,Michigan State,Michigan State,Ind,W,26,7,3,0,0.0,W 3,
4,1948,1948-10-16,"Oct 16, 1948",Sat,,(2) Notre Dame, Notre Dame,Away,Nebraska,Nebraska,Big 7,W,44,13,4,0,0.0,W 4,
5,1948,1948-10-23,"Oct 23, 1948",Sat,,(2) Notre Dame, Notre Dame,Away,Iowa,Iowa,Western,W,27,12,5,0,0.0,W 5,
6,1948,1948-10-30,"Oct 30, 1948",Sat,,(2) Notre Dame, Notre Dame,Away,Navy,Navy,Ind,W,41,7,6,0,0.0,W 6,"Baltimore, MD"
7,1948,1948-11-06,"Nov 6, 1948",Sat,,(1) Notre Dame, Notre Dame,Away,Indiana,Indiana,Western,W,42,6,7,0,0.0,W 7,
8,1948,1948-11-13,"Nov 13, 1948",Sat,,(2) Notre Dame, Notre Dame,Home,(8) Northwestern, Northwestern,Western,W,12,7,8,0,0.0,W 8,
9,1948,1948-11-27,"Nov 27, 1948",Sat,,(2) Notre Dame, Notre Dame,Home,Washington,Washington,PCC,W,46,0,9,0,0.0,W 9,
10,1948,1948-12-04,"Dec 4, 1948",Sat,,(2) Notre Dame, Notre Dame,Away,USC,USC,PCC,T,14,14,9,0,1.0,T 1,
1,1949,1949-09-24,"Sep 24, 1949",Sat,,Notre Dame,Notre Dame,Home,Indiana,Indiana,Western,W,49,6,1,0,0.0,W 1,
2,1949,1949-10-01,"Oct 1, 1949",Sat,,Notre Dame,Notre Dame,Away,Washington,Washington,PCC,W,27,7,2,0,0.0,W 2,
3,1949,1949-10-08,"Oct 8, 1949",Sat,,(2) Notre Dame, Notre Dame,Away,Purdue,Purdue,Western,W,35,12,3,0,0.0,W 3,
4,1949,1949-10-15,"Oct 15, 1949",Sat,,(1) Notre Dame, Notre Dame,Home,(4) Tulane, Tulane,SEC,W,46,7,4,0,0.0,W 4,
5,1949,1949-10-29,"Oct 29, 1949",Sat,,(1) Notre Dame, Notre Dame,Away,Navy,Navy,Ind,W,40,0,5,0,0.0,W 5,"Baltimore, MD"
6,1949,1949-11-05,"Nov 5, 1949",Sat,,(1) Notre Dame, Notre Dame,Away,(10) Michigan State, Michigan State,Ind,W,34,21,6,0,0.0,W 6,
7,1949,1949-11-12,"Nov 12, 1949",Sat,,(1) Notre Dame, Notre Dame,Neutral,North Carolina,North Carolina,Southern,W,42,6,7,0,0.0,W 7,"Bronx, NY"
8,1949,1949-11-19,"Nov 19, 1949",Sat,,(1) Notre Dame, Notre Dame,Home,Iowa,Iowa,Western,W,28,7,8,0,0.0,W 8,
9,1949,1949-11-26,"Nov 26, 1949",Sat,,(1) Notre Dame, Notre Dame,Home,(17) USC, USC,PCC,W,32,0,9,0,0.0,W 9,
10,1949,1949-12-03,"Dec 3, 1949",Sat,,(1) Notre Dame, Notre Dame,Away,SMU,SMU,SWC,W,27,20,10,0,0.0,W 10,
1,1950,1950-09-30,"Sep 30, 1950",Sat,,(1) Notre Dame, Notre Dame,Home,(20) North Carolina, North Carolina,Southern,W,14,7,1,0,0.0,W 1,
2,1950,1950-10-07,"Oct 7, 1950",Sat,,(1) Notre Dame, Notre Dame,Home,Purdue,Purdue,Western,L,14,28,1,1,0.0,L 1,
3,1950,1950-10-14,"Oct 14, 1950",Sat,,(10) Notre Dame, Notre Dame,Away,Tulane,Tulane,SEC,W,13,9,2,1,0.0,W 1,
4,1950,1950-10-21,"Oct 21, 1950",Sat,,(11) Notre Dame, Notre Dame,Away,Indiana,Indiana,Western,L,7,20,2,2,0.0,L 1,
5,1950,1950-10-28,"Oct 28, 1950",Sat,,Notre Dame,Notre Dame,Home,(15) Michigan State, Michigan State,Ind,L,33,36,2,3,0.0,L 2,
6,1950,1950-11-04,"Nov 4, 1950",Sat,,Notre Dame,Notre Dame,Neutral,Navy,Navy,Ind,W,19,10,3,3,0.0,W 1,"Cleveland, OH"
7,1950,1950-11-11,"Nov 11, 1950",Sat,,Notre Dame,Notre Dame,Home,Pitt,Pitt,Ind,W,18,7,4,3,0.0,W 2,
