G,Season,Standardized_Date,Date,Day,Time,School,Standardized_School,Location,Opponent,Standardized_Opponent,Conf,Result,Pts,Opp,W,L,T,Streak,Notes
1,1998,1998-09-05,"Sep 5, 1998",Sat,,(22) Notre Dame, Notre Dame,Home,(5) Michigan, Michigan,Big Ten,W,36,20,1,0,,W 1,
2,1998,1998-09-12,"Sep 12, 1998",Sat,,(10) Notre Dame, Notre Dame,Away,Michigan State,Michigan State,Big Ten,L,23,45,1,1,,L 1,
3,1998,1998-09-26,"Sep 26, 1998",Sat,,(23) Notre Dame, Notre Dame,Home,Purdue,Purdue,Big Ten,W,31,30,2,1,,W 1,
4,1998,1998-10-03,"Oct 3, 1998",Sat,,(23) Notre Dame, Notre Dame,Home,Stanford,Stanford,Pac-10,W,35,17,3,1,,W 2,
5,1998,1998-10-10,"Oct 10, 1998",Sat,,(22) Notre Dame, Notre Dame,Away,Arizona State,Arizona State,Pac-10,W,28,9,4,1,,W 3,
6,1998,1998-10-24,"Oct 24, 1998",Sat,,(18) Notre Dame, Notre Dame,Home,Army,Army,CUSA,W,20,17,5,1,,W 4,
7,1998,1998-10-31,"Oct 31, 1998",Sat,,(16) Notre Dame, Notre Dame,Home,Baylor,Baylor,Big 12,W,27,3,6,1,,W 5,
8,1998,1998-11-07,"Nov 7, 1998",Sat,,(13) Notre Dame, Notre Dame,Away,Boston College,Boston College,Big East,W,31,26,7,1,,W 6,
9,1998,1998-11-14,"Nov 14, 1998",Sat,,(12) Notre Dame, Notre Dame,Away,Navy,Navy,Ind,W,30,0,8,1,,W 7,"Landover, MD"
10,1998,1998-11-21,"Nov 21, 1998",Sat,,(10) Notre Dame, Notre Dame,Home,LSU,LSU,SEC,W,39,36,9,1,,W 8,
11,1998,1998-11-28,"Nov 28, 1998",Sat,,(9) Notre Dame, Notre Dame,Away,USC,USC,Pac-10,L,0,10,9,2,,L 1,
12,1998,1999-01-01,"Jan 1, 1999",Fri,,(17) Notre Dame, Notre Dame,Neutral,(12) Georgia Tech, Georgia Tech,ACC,L,28,35,9,3,,L 2,"Gator Bowl (Gator Bowl (Jacksonville, FL))"
1,1999,1999-08-28,"Aug 28, 1999",Sat,,(18) Notre Dame, Notre Dame,Home,Kansas,Kansas,Big 12,W,48,13,1,0,,W 1,"Eddie Robinson Classic (South Bend, IN)"
2,1999,1999-09-04,"Sep 4, 1999",Sat,,(16) Notre Dame, Notre Dame,Away,(7) Michigan, Michigan,Big Ten,L,22,26,1,1,,L 1,
3,1999,1999-09-11,"Sep 11, 1999",Sat,,(16) Notre Dame, Notre Dame,Away,(20) Purdue, Purdue,Big Ten,L,23,28,1,2,,L 2,
4,1999,1999-09-18,"Sep 18, 1999",Sat,,(24) Notre Dame, Notre Dame,Home,Michigan State,Michigan State,Big Ten,L,13,23,1,3,,L 3,
5,1999,1999-10-02,"Oct 2, 1999",Sat,,Notre Dame,Notre Dame,Home,(23) Oklahoma, Oklahoma,Big 12,W,34,30,2,3,,W 1,
6,1999,1999-10-09,"Oct 9, 1999",Sat,,Notre Dame,Notre Dame,Home,Arizona State,Arizona State,Pac-10,W,48,17,3,3,,W 2,
7,1999,1999-10-16,"Oct 16, 1999",Sat,,Notre Dame,Notre Dame,Home,USC,USC,Pac-10,W,25,24,4,3,,W 3,
8,1999,1999-10-30,"Oct 30, 1999",Sat,,Notre Dame,Notre Dame,Home,Navy,Navy,Ind,W,28,24,5,3,,W 4,
9,1999,1999-11-06,"Nov 6, 1999",Sat,,(24) Notre Dame, Notre Dame,Away,(4) Tennessee, Tennessee,SEC,L,14,38,5,4,,L 1,
10,1999,1999-11-13,"Nov 13, 1999",Sat,,Notre Dame,Notre Dame,Away,Pitt,Pitt,Big East,L,27,37,5,5,,L 2,
11,1999,1999-11-20,"Nov 20, 1999",Sat,,Notre Dame,Notre Dame,Home,(25) Boston College, Boston College,Big East,L,29,31,5,6,,L 3,
12,1999,1999-11-27,"Nov 27, 1999",Sat,,Notre Dame,Notre Dame,Away,Stanford,Stanford,Pac-10,L,37,40,5,7,,L 4,
1,2000,2000-09-02,"Sep 2, 2000",Sat,,Notre Dame,Notre Dame,Home,(25) Texas A&M, Texas A&M,Big 12,W,24,10,1,0,,W 1,
2,2000,2000-09-09,"Sep 9, 2000",Sat,,(23) Notre Dame, Notre Dame,Home,(1) Nebraska, Nebraska,Big 12,L,24,27,1,1,,L 1,
3,2000,2000-09-16,"Sep 16, 2000",Sat,,(21) Notre Dame, Notre Dame,Home,(13) Purdue, Purdue,Big Ten,W,23,21,2,1,,W 1,
4,2000,2000-09-23,"Sep 23, 2000",Sat,,(16) Notre Dame, Notre Dame,Away,(23) Michigan State, Michigan State,Big Ten,L,21,27,2,2,,L 1,
5,2000,2000-10-07,"Oct 7, 2000",Sat,,(25) Notre Dame, Notre Dame,Home,Stanford,Stanford,Pac-10,W,20,14,3,2,,W 1,
6,2000,2000-10-14,"Oct 14, 2000",Sat,,(20) Notre Dame, Notre Dame,Neutral,Navy,Navy,Ind,W,45,14,4,2,,W 2,"Orlando, FL"
7,2000,2000-10-21,"Oct 21, 2000",Sat,,(20) Notre Dame, Notre Dame,Away,West Virginia,West Virginia,Big East,W,42,28,5,2,,W 3,
8,2000,2000-10-28,"Oct 28, 2000",Sat,,(19) Notre Dame, Notre Dame,Home,Air Force,Air Force,MWC,W,34,31,6,2,,W 4,
9,2000,2000-11-11,"Nov 11, 2000",Sat,,(11) Notre Dame, Notre Dame,Home,Boston College,Boston College,Big East,W,28,16,7,2,,W 5,
10,2000,2000-11-18,"Nov 18, 2000",Sat,,(11) Notre Dame, Notre Dame,Away,Rutgers,Rutgers,Big East,W,45,17,8,2,,W 6,
11,2000,2000-11-25,"Nov 25, 2000",Sat,,(11) Notre Dame, Notre Dame,Away,USC,USC,Pac-10,W,38,21,9,2,,W 7,
12,2000,2001-01-01,"Jan 1, 2001",Mon,,(10) Notre Dame, Notre Dame,Neutral,(5) Oregon State, Oregon State,Pac-10,L,9,41,9,3,,L 1,"Fiesta Bowl (Fiesta Bowl (Tempe, AZ))"
1,2001,2001-09-08,"Sep 8, 2001",Sat,,(17) Notre Dame, Notre Dame,Away,(5) Nebraska, Nebraska,Big 12,L,10,27,0,1,,L 1,
2,2001,2001-09-22,"Sep 22, 2001",Sat,,(23) Notre Dame, Notre Dame,Home,Michigan State,Michigan State,Big Ten,L,10,17,0,2,,L 2,
3,2001,2001-09-29,"Sep 29, 2001",Sat,,Notre Dame,Notre Dame,Away,Texas A&M,Texas A&M,Big 12,L,3,24,0,3,,L 3,
4,2001,2001-10-06,"Oct 6, 2001",Sat,,Notre Dame,Notre Dame,Home,Pitt,Pitt,Big East,W,24,7,1,3,,W 1,
5,2001,2001-10-13,"Oct 13, 2001",Sat,,Notre Dame,Notre Dame,Home,West Virginia,West Virginia,Big East,W,34,24,2,3,,W 2,
6,2001,2001-10-20,"Oct 20, 2001",Sat,,Notre Dame,Notre Dame,Home,USC,USC,Pac-10,W,27,16,3,3,,W 3,
7,2001,2001-10-27,"Oct 27, 2001",Sat,,Notre Dame,Notre Dame,Away,Boston College,Boston College,Big East,L,17,21,3,4,,L 1,
8,2001,2001-11-03,"Nov 3, 2001",Sat,,Notre Dame,Notre Dame,Home,(7) Tennessee, Tennessee,SEC,L,18,28,3,5,,L 2,
9,2001,2001-11-17,"Nov 17, 2001",Sat,,Notre Dame,Notre Dame,Home,Navy,Navy,Ind,W,34,16,4,5,,W 1,
10,2001,2001-11-24,"Nov 24, 2001",Sat,,Notre Dame,Notre Dame,Away,(13) Stanford, Stanford,Pac-10,L,13,17,4,6,,L 1,
